age,educ,earnings,marry
29,4,1346,1
59,4,830.76001,1
47,5,1500,1
58,5,600,1
62,5,2884.6101,1
25,2,630,1
55,1,1000,0
49,5,576.91998,0
27,1,1207.5,1
56,2,605,0
57,3,881.59998,1
21,2,259,0
28,2,1120,1
59,2,725,0
43,3,1000,1
24,2,600,0
36,1,370,0
24,2,510,0
24,3,415,1
47,2,790,1
40,1,213.14999,0
27,3,537.5,1
55,4,1250,1
24,3,440,0
48,2,1800,0
33,3,420,1
42,2,384.60999,1
45,5,1250,0
49,2,728.5,1
44,2,1640,0
38,3,1360,0
48,3,1538.46,1
47,3,1923.0699,1
66,4,1038.46,1
43,2,1640,1
42,3,520,1
56,3,1480,1
41,4,826.91998,1
24,3,375,0
47,3,485,1
31,5,2884.6101,1
35,4,1200,0
40,4,1653.84,1
36,4,1861.53,1
60,5,2740.3799,1
28,4,615.38,1
53,2,585,1
23,1,520,1
64,5,2884.6101,0
45,4,2211.53,1
45,4,1250,1
41,1,680,1
41,3,450,1
56,2,808,1
26,1,1315,0
52,4,826,1
35,3,576.91998,0
29,4,250,1
56,3,2884.6101,0
52,5,865.38,1
38,3,864,0
41,1,652.5,0
64,4,1346.15,1
37,2,932.69,1
53,3,1200,0
27,3,950,0
57,4,1115.38,1
29,3,360,1
38,5,1961.53,1
59,2,865.38,1
40,2,900,1
39,2,961.53003,1
37,3,1442.3,1
32,5,1538.46,1
60,4,865,1
45,3,1080,1
30,1,1785,1
74,4,230,0
52,3,1200,1
32,2,720,1
24,4,700,1
68,2,1320,1
41,4,600,0
35,2,500,1
24,2,500,0
39,4,1861,1
43,3,600,0
50,4,673,1
23,2,375,0
33,3,900,0
61,5,673,1
66,2,400,1
62,2,720,1
43,5,1923.0699,1
67,2,1250,1
50,3,690,1
25,2,138,0
26,3,266,0
61,5,2307.6899,1
25,4,738.46002,1
61,5,2884,1
48,3,560,0
60,3,961.53003,1
30,4,1615.38,0
54,1,375,1
60,4,1326,1
26,3,640,0
42,2,624,1
28,2,624,0
57,4,1326.92,0
27,1,1000,0
33,5,1692,1
41,3,500,0
58,2,150,1
55,4,1057.6899,0
32,4,2058,1
29,1,576.79999,1
33,3,890,0
52,3,1200,1
44,5,1923,1
57,1,450,0
23,3,225,0
42,3,1080,1
55,4,1153.84,1
27,3,448.39999,0
41,1,600,1
50,2,769.22998,0
42,1,880,0
52,4,750,1
36,2,1502,0
28,4,402.23001,1
58,1,550,1
50,5,2250,1
35,1,200,1
59,2,2340,0
36,1,264,0
53,2,1442.3,1
24,4,769.22998,0
54,3,1692.3,1
21,2,600,0
45,4,2884.6101,1
29,2,925,1
28,4,769.22998,0
37,5,2884.6101,1
41,2,1057.6899,0
66,2,279.60001,1
53,2,1880,1
36,3,1054,1
29,4,1307.6899,1
23,3,600,0
44,2,384,1
40,2,1209.5,0
26,4,206.25,0
37,4,1038,1
36,4,887.5,0
46,2,384,1
60,2,1008,1
50,2,270,0
40,4,905,1
49,5,2250,1
33,4,769.22998,0
54,2,426.79999,0
28,4,1920,1
64,4,925,0
27,3,360,0
54,2,649.59998,1
32,2,560,0
38,4,1133,1
63,3,1500,1
40,2,2500,1
63,2,1605.76,1
28,4,1200,1
54,4,1250,1
40,2,1680,0
31,2,600,1
47,5,865.38,1
50,4,2019.23,1
30,4,1538.46,1
57,4,1315.38,1
49,4,1923.0699,1
55,4,553.84003,1
42,3,1000,1
67,2,961.53003,1
60,2,585,1
48,2,1961,1
59,5,450,1
35,4,1057.6899,1
49,5,2884.6101,1
52,2,1790,1
55,3,1192,1
34,2,1153.84,1
53,2,600,1
55,3,720,1
25,2,900,1
40,3,769.22998,1
49,3,2884.6101,0
32,3,736.75,0
42,2,415,0
40,3,728,0
25,3,830,0
25,2,634,0
38,2,497.60001,0
41,3,2846,1
31,1,700,0
67,4,1057.6899,1
29,4,550,0
56,1,1038.46,0
60,3,1000,1
42,2,520,0
37,2,920,0
58,2,400,0
54,2,880,1
46,2,404,1
57,5,1346.15,1
46,3,448,0
31,2,2130,1
46,3,822.5,1
51,2,404,1
50,2,640,1
45,4,1153,1
63,3,692.29999,1
41,2,1961.25,0
37,2,404,1
42,2,865.38,1
37,3,1961.53,1
34,2,1442.3,1
26,3,997.5,0
36,4,1000,1
